"","Titulo","Tipo","Estado","Cantidad_episodio","Visitas"
"358","Fairy Tail Movie 2: Dragon Cry","Pelicula","Finalizado","1","13565"
"359","Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa","Especial","Finalizado","1","7153"
"360","Fairy Tail Movie 1: Houou no Miko","Pelicula","Finalizado","1","14362"
"361","Fairy Tail OVA","OVA","Finalizado","9","17465"
"362","Nagato Yuki-chan no Shoushitsu","TV","Finalizado","17","15808"
"363","Suzumiya Haruhi no Shoushitsu","Pelicula","Finalizado","1","19649"
"364","Suzumiya Haruhi no Yuuutsu (2009)","TV","Finalizado","14","20741"
"365","Zero no Tsukaima: F","TV","Finalizado","12","38348"
"366","Suzumiya Haruhi no Yuuutsu","TV","Finalizado","14","26396"
"367","Steel Angel Kurumi Zero","OVA","Finalizado","3","32296"
"368","Steel Angel Kurumi 2","TV","Finalizado","12","8539"
"369","Steel Angel Kurumi Encore","OVA","Finalizado","4","4616"
"370","Zero no Tsukaima: Princess no Rondo - Yuuwaku no Sunahama","OVA","Finalizado","1","19323"
"371","Zero no Tsukaima: Princess no Rondo","TV","Finalizado","12","29606"
"372","Zero no Tsukaima: Futatsuki no Kishi","TV","Finalizado","12","43176"
"373","Zero no Tsukaima","TV","Finalizado","13","63323"
"374","Steel Angel Kurumi","TV","Finalizado","24","15926"
"375","Soukou no Strain","TV","Finalizado","13","9518"
"376","Non Non Biyori Movie: Vacation","Pelicula","Finalizado","1","5355"
"377","Non Non Biyori Repeat: Hotaru ga Tanoshinda","OVA","Finalizado","1","4187"
"378","Non Non Biyori Repeat","TV","Finalizado","12","10773"
"379","Non Non Biyori","TV","Finalizado","12","20056"
"380","Gochuumon wa Usagi Desu ka??: Sing for You","OVA","Finalizado","1","5327"
"381","Gochuumon wa Usagi Desu ka??: Dear My Sister","Pelicula","Finalizado","1","5534"
"382","Gochuumon wa Usagi Desu ka??","TV","Finalizado","12","9769"
"383","Boku no Hero Academia: Ikinokore! Kesshi no Survival Kunren","OVA","Finalizado","2","119049"
"384","Gochuumon wa Usagi Desu ka?","TV","Finalizado","12","10450"
"385","Saenai Heroine no Sodatekata Flat","TV","Finalizado","12","43713"
"386","Saenai Heroine no Sodatekata","TV","Finalizado","13","60827"
"387","B-gata H-kei","TV","Finalizado","12","34189"
"388","Sayonara no Asa ni Yakusoku no Hana wo Kazarou","Pelicula","Finalizado","1","28275"
"389","Minami no Shima no Dera-chan","TV","Finalizado","1","8814"
"390","Tamako Love Story","Pelicula","Finalizado","1","20868"
"391","Tamako Market","TV","Finalizado","12","19051"
"392","JoJo's Bizarre Adventure: Diamond is Unbreakable","TV","Finalizado","39","75802"
"393","Onegai Teacher","TV","Finalizado","13","36375"
"394","Shijou Saikyou no Deshi Kenichi OVA","OVA","Finalizado","11","36239"
"395","JoJo's Bizarre Adventure","TV","Finalizado","26","93792"
"396","Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai Movie","TV","Finalizado","1","12650"
"397","Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai","TV","Finalizado","11","15434"
"398","Gin no Saji 2","TV","Finalizado","11","4222"
"399","Gin no Saji","TV","Finalizado","11","7182"
"400","Hakubo","Pelicula","Finalizado","1","27157"
"401","Aku no Hana","TV","Finalizado","13","19557"
"402","Another","TV","Finalizado","13","97029"
"403","Terra Formars","TV","Finalizado","13","28357"
"404","Soul Eater Not!","TV","Finalizado","12","13570"
"405","Ladies versus Butlers!","TV","Finalizado","12","23531"
"406","Air","TV","Finalizado","13","9680"
"407","Campione!","TV","Finalizado","13","20891"
"408","Absolute Duo","TV","Finalizado","12","34508"
"409","Hyouka","TV","Finalizado","23","102666"
"410","Durarara!!x2 Ten","TV","Finalizado","12","14270"
"411","Durarara!! x2 Shou","TV","Finalizado","12","10837"
"412","Durarara!!","TV","Finalizado","25","30347"
"413","Kenichi","TV","Finalizado","50","87307"
"414","Watamote!","TV","Finalizado","13","20131"
"415","Sakurasou no Pet na Kanojo","TV","Finalizado","24","50601"
"416","Ansatsu Kyoushitsu OVA","TV","Finalizado","1","34822"
"417","Digimon Adventure: Last Evolution Kizuna","Pelicula","Finalizado","1","43319"
"418","Ansatsu Kyoushitsu 2","TV","Finalizado","25","51971"
"419","Nisekoi:S2","TV","Finalizado","13","33587"
"420","Soul Eater","TV","Finalizado","51","47489"
"421","Ore Monogatari!!","TV","Finalizado","24","36898"
"422","Ansatsu Kyoushitsu","TV","Finalizado","22","121770"
"423","Nisekoi","TV","Finalizado","20","90932"
"424","Goblin Slayer: Goblin's Crown","OVA","Finalizado","1","58222"
"425","Kill la Kill","TV","Finalizado","25","37232"
"426","Citrus","TV","Finalizado","12","84282"
"427","Gamers!","TV","Finalizado","12","51853"
"428","Guilty Crown","TV","Finalizado","23","39644"
"429","Circlet Princess","TV","Finalizado","12","15039"
"430","Golden Kamuy 2nd Season","TV","Finalizado","12","16945"
"431","Golden Kamuy","TV","Finalizado","12","26330"
"432","Gate: Jieitai Kanochi nite, Kaku Tatakaeri - Enryuu-hen","TV","Finalizado","12","34055"
"433","Gate: Jieitai Kanochi nite, Kaku Tatakaeri","TV","Finalizado","12","52466"
"434","JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt","TV","Finalizado","24","62043"
"435","JoJo's Bizarre Adventure: Stardust Crusaders","TV","Finalizado","24","77831"
"436","ReLIFE: Kanketsu-hen","TV","Finalizado","4","21137"
"437","ReLIFE","TV","Finalizado","13","40503"
"438","Gintama.: Shirogane no Tamashii-hen - Kouhan-sen","TV","Finalizado","14","16998"
"439","Gintama.: Shirogane no Tamashii-hen","TV","Finalizado","12","15361"
"440","Ninja Collection","TV","Finalizado","11","40045"
"441","Gintama.: Porori-hen","TV","Finalizado","13","11700"
"442","Gintama 2017","TV","Finalizado","12","13912"
"443","Boku no Hero Academia the Movie 2: Heroes Rising","Pelicula","Finalizado","1","155684"
"444","Tachibanakan Triangle","TV","Finalizado","12","60019"
"445","Nihon Chinbotsu 2020","TV","Finalizado","10","40375"
"446","Gintama 2015","TV","Finalizado","51","18630"
"447","Gintama 2012","TV","Finalizado","13","15150"
"448","Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","Pelicula","Finalizado","1","13333"
"449","Gintama Movie 1: Shinyaku Benizakura-hen","Pelicula","Finalizado","1","8943"
"450","Gintama 2011","TV","Finalizado","51","22167"
"451","Boku no Hero Academia the Movie 1: Futari no Hero","Pelicula","Finalizado","1","112215"
"452","Umayon","TV","Finalizado","12","21028"
"453","Gintama","TV","Finalizado","201","74438"
"454","Omamori Himari","TV","Finalizado","12","76898"
"455","Angel Beats!: Epilogo","Especial","Finalizado","1","13912"
"456","Angel Beats! OVA","OVA","Finalizado","1","11563"
"457","Angel Beats!","TV","Finalizado","13","30938"
"458","Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai","TV","Finalizado","12","125516"
"459","Clannad Movie","Pelicula","Finalizado","1","13297"
"460","Grisaia: Phantom Trigger The Animation","Pelicula","Proximamente","2","21068"
"461","Clannad: After Story","TV","Finalizado","25","21944"
"462","Clannad","TV","Finalizado","24","31145"
"463","Mahoutsukai no Yome","TV","Finalizado","24","65870"
"464","Mahoutsukai no Yome: Hoshi Matsu Hito","OVA","Finalizado","3","22168"
"465","Hitoribocchi no Marumaru Seikatsu","TV","Finalizado","12","22874"
"466","Manyuu Hikenchou Especiales","TV","Finalizado","8","15238"
"467","Manyuu Hikenchou","TV","Finalizado","12","49176"
"468","Mirai Nikki Redial","OVA","Finalizado","1","28232"
"469","Mirai Nikki","TV","Finalizado","26","86082"
"470","Maji de Watashi ni Koi Shinasai!","TV","Finalizado","12","34583"
"471","KakeguruiX","TV","Finalizado","12","76836"
"472","Kakegurui","TV","Finalizado","12","154103"
"473","Mirai no Mirai","Pelicula","Finalizado","1","8385"
"474","Koi to Producer: EVOLXLOVE","TV","Finalizado","12","57163"
"475","Gibiate","TV","Finalizado","12","71012"
"476","Monster Musume no Oisha-san","TV","Finalizado","12","169781"
"477","Sword Art Online: Alicization - War of Underworld Part 2","TV","Finalizado","11","400546"
"478","Peter Grill to Kenja no Jikan","TV","Finalizado","12","197320"
"479","Uzaki-chan wa Asobitai!","TV","Finalizado","12","391863"
"480","Kanojo, Okarishimasu","TV","Finalizado","12","361882"
"481","No Guns Life 2nd Season","TV","Finalizado","12","31035"
"482","Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan","TV","Finalizado","12","264382"
"483","Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 1","TV","Finalizado","13","360780"
"484","Deca-Dence","TV","Finalizado","12","95970"
"485","Senran Kagura Shinovi Master: Tokyo Youma-hen","TV","Finalizado","12","27385"
"486","Muhyo to Roujii no Mahouritsu Soudan Jimusho 2nd Season","TV","Finalizado","12","70955"
"487","Senran Kagura Estival Versus: Shoujo-tachi no Sentaku","OVA","Finalizado","1","32895"
"488","Senran Kagura Specials","Especial","Finalizado","6","19178"
"489","Healin' Good<U+2661>Precure","TV","Finalizado","45","29965"
"490","The God of High School","TV","Finalizado","13","551617"
"491","Lapis Re:LiGHTs","TV","Finalizado","12","21704"
"492","Senran Kagura","TV","Finalizado","12","46765"
"493","Maou Gakuin no Futekigousha","TV","Finalizado","13","349645"
"494","Rurouni Kenshin Latino","TV","Finalizado","95","22078"
"495","Okusama ga Seitokaichou! Plus","TV","Finalizado","12","36201"
"496","Okusama ga Seitokaichou!","TV","Finalizado","13","73896"
"497","Dog Days''","TV","Finalizado","12","10563"
"498","Dokyuu Hentai HxEros","TV","Finalizado","12","230915"
"499","Enn Enn no Shouboutai: Ni no Shou","TV","Finalizado","24","395643"
"500","Saint Seiya: The Lost Canvas","TV","Finalizado","26","20719"
"501","Dog Days'","TV","Finalizado","13","10906"
"502","Dog Days","TV","Finalizado","13","20622"
"503","Boku wa Tomodachi ga Sukunai Next","TV","Finalizado","13","34978"
"504","Boku wa Tomodachi ga Sukunai","TV","Finalizado","13","59347"
"505","Shinmai Maou no Testament Departures","TV","Finalizado","1","45519"
"506","Shinmai Maou no Testament Burst","TV","Finalizado","11","82190"
"507","Muhyo to Rouji no Mahouritsu Soudan Jimusho","TV","Finalizado","12","35048"
"508","Shinmai Maou no Testament","TV","Finalizado","13","121317"
"509","3D Kanojo: Real Girl","TV","Finalizado","24","28268"
"510","Bungou Stray Dogs: Dead Apple","Pelicula","Finalizado","1","17504"
"511","Bungou Stray Dogs 3","TV","Finalizado","12","25998"
"512","Bungou Stray Dogs 2","TV","Finalizado","12","26063"
"513","Bungou Stray Dogs","TV","Finalizado","12","76960"
"514","Ranma 1/2 Peliculas Latino","Pelicula","Finalizado","2","9908"
"515","Ranma 1/2 OVAS","OVA","Finalizado","13","17936"
"516","Evangelion: 3.0 You Can (Not) Redo","Pelicula","Finalizado","1","30180"
"517","Evangelion: 2.0 You Can (Not) Advance","Pelicula","Finalizado","1","23827"
"518","Dorohedoro: Ma no Omake","OVA","Finalizado","1","26274"
"519","Evangelion: 1.0 You Are (Not) Alone","Pelicula","Finalizado","1","30519"
"520","Nakitai Watashi wa Neko wo Kaburu","Pelicula","Finalizado","1","54842"
"521","Ranma 1/2 Latino","TV","Finalizado","161","56093"
"522","Girls Bravo","TV","Finalizado","24","47513"
"523","Uma Musume: Pretty Derby - BNW no Chikai","OVA","Finalizado","3","8228"
"524","Uma Musume: Pretty Derby","TV","Finalizado","13","22855"
"525","Hundred","TV","Finalizado","12","55478"
"526","Hellsing Ultimate","OVA","Finalizado","10","34447"
"527","Hellsing: The Dawn","Especial","Finalizado","3","23699"
"528","Hellsing Latino","TV","Finalizado","13","23165"
"529","Sekirei: Pure Engagement","TV","Finalizado","14","35655"
"530","Sekirei","TV","Finalizado","13","57893"
"531","Kiseijuu: Sei no Kakuritsu (Parasyte)","TV","Finalizado","24","41792"
"532","Trinity Seven","TV","Finalizado","13","78509"
"533","Trinity Seven Movie 2: Heavens Library to Crimson Lord","Pelicula","Finalizado","1","23576"
"534","Trinity Seven Movie 1: Eternity Library to Alchemic Girl","Pelicula","Finalizado","1","26949"
"535","Blood-C: The Last Dark","Pelicula","Finalizado","1","19452"
"536","Blood-C","TV","Finalizado","12","48515"
"537","Occultic;Nine","TV","Finalizado","12","8860"
"538","Fate/Apocrypha","TV","Finalizado","25","23841"
"539","Fate/stay night: Unlimited Blade Works","TV","Finalizado","27","49754"
"540","Yuragi-sou no Yuuna-san OVAS","OVA","Finalizado","4","51010"
"541","Yuragi-sou no Yuuna-san","TV","Finalizado","12","74500"
"542","Prison School","TV","Finalizado","13","122349"
"543","Fate/stay night","TV","Finalizado","24","47647"
"544","Fate/Extra: Last Encore","TV","Finalizado","13","18647"
"545","Akame ga Kill!","TV","Finalizado","24","102440"
"546","Rakudai Kishi no Cavalry","TV","Finalizado","12","83871"
"547","Steins;Gate Movie: Fuka Ryouiki no Deja vu","Pelicula","Finalizado","1","16415"
"548","Steins;Gate 0","TV","Finalizado","24","19866"
"549","Steins;Gate","TV","Finalizado","25","44030"
"550","Tenchi Muyou! Ryououki 4th Season","OVA","Finalizado","4","14256"
"551","Baki: Dai Raitaisai-hen","TV","Finalizado","13","102386"
"552","Domestic na Kanojo","TV","Finalizado","12","127730"
"553","Kobayashi-san Chi no Maid Dragon","TV","Finalizado","14","176516"
"554","The Great Pretender","TV","Finalizado","23","122928"
"555","D.Gray-man Hallow","TV","Finalizado","13","16976"
"556","Dragon Crisis!","TV","Finalizado","12","24021"
"557","Blend S","TV","Finalizado","12","43844"
"558","Akuma no Riddle","TV","Finalizado","13","29093"
"559","D.Gray-man","TV","Finalizado","103","44205"
"560","Suisei no Gargantia: Meguru Kouro, Haruka","OVA","Finalizado","2","18488"
"561","Suisei no Gargantia","TV","Finalizado","15","28578"
"562","Saint Seiya Latino","TV","Finalizado","114","18353"
"563","Kuutei Dragons Latino","TV","Finalizado","12","15537"
"564","Kuutei Dragons: Drifting Dragons","TV","Finalizado","12","18141"
"565","Shingeki no Kyojin OVAS","OVA","Finalizado","5","111525"
"566","Shingeki no Kyojin: Lost Girls","OVA","Finalizado","3","64991"
"567","Inuyasha Peliculas","Pelicula","Finalizado","4","20910"
"568","Grisaia no Rakuen Especiales","Especial","Finalizado","5","11962"
"569","Grisaia no Rakuen","TV","Finalizado","10","42271"
"570","InuYasha: Kanketsu-hen","TV","Finalizado","26","49956"
"571","Sankarea","TV","Finalizado","16","68359"
"572","Dororo","TV","Finalizado","24","114080"
"573","Grisaia no Meikyuu Especiales","Especial","Finalizado","1","11681"
"574","Grisaia no Meikyuu","TV","Finalizado","1","42674"
"575","Rokka no Yuusha","TV","Finalizado","12","40846"
"576","Fate/Zero","TV","Finalizado","25","47442"
"577","Grisaia no Kajitsu Especiales","Especial","Finalizado","6","33451"
"578","Grisaia no Kajitsu","TV","Finalizado","13","67346"
"579","Soukyuu no Fafner: Dead Aggressor - Exodus","TV","Finalizado","26","8419"
"580","Bokura no Nanokakan Sensou","Pelicula","Finalizado","1","36369"
"581","Soukyuu no Fafner: Dead Aggressor - Heaven and Earth","Pelicula","Finalizado","1","15193"
"582","Dragon Ball Z Latino","TV","Finalizado","291","146265"
"583","Death Parade","TV","Finalizado","12","46240"
"584","Soukyuu no Fafner: Right of Left - Single Program","Especial","Finalizado","1","12677"
"585","Soukyuu no Fafner: Dead Aggressor","TV","Finalizado","25","16501"
"586","InuYasha Latino","TV","Finalizado","167","111435"
"587","Fragtime","Pelicula","Finalizado","1","34933"
"588","Ao no Exorcist: Kyoto Fujouou-hen","TV","Finalizado","13","45549"
"589","Kimi no Na wa.","Pelicula","Finalizado","1","63612"
"590","Akkun to Kanojo","TV","Finalizado","25","36449"
"591","World Trigger","TV","Finalizado","73","61876"
"592","C: The Money of Soul and Possibility Control","TV","Finalizado","11","30276"
"593","Ao no Exorcist: Gekijouban","Pelicula","Finalizado","1","20461"
"594","Ao no Exorcist","TV","Finalizado","26","67140"
"595","Brave 10","TV","Finalizado","12","20604"
"596","Fractale","TV","Finalizado","11","7802"
"597","Death note","TV","Finalizado","37","191795"
"598","Owari no Seraph: Nagoya Kessen-hen","TV","Finalizado","16","83882"
"599","Wotaku ni Koi wa Muzukashii","TV","Finalizado","12","89038"
"600","Katekyo Hitman Reborn!","TV","Finalizado","204","58133"
"601","Demi-chan wa Kataritai","TV","Finalizado","13","21945"
"602","Neon Genesis Evangelion","TV","Finalizado","26","89618"
"603","Kekkai Sensen & Beyond","TV","Finalizado","13","30613"
"604","Owari no Seraph","TV","Finalizado","17","133034"
"605","D-Frag!","TV","Finalizado","13","18146"
"606","Koi to Uso","TV","Finalizado","13","49617"
"607","Cowboy Bebop","TV","Finalizado","26","113780"
"608","Naruto Peliculas","Pelicula","Finalizado","3","77566"
"609","JoJo's Bizarre Adventure: Golden Wind","TV","Finalizado","39","119275"
"610","Naruto Shippuden Peliculas","Pelicula","Finalizado","8","143548"
"611","Sumomomo Momomo: Chijou Saikyou no Yome","TV","Finalizado","24","19704"
"612","Doukyonin wa Hiza, Tokidoki, Atama no Ue.","TV","Finalizado","12","11967"
"613","Eromanga-sensei","TV","Finalizado","14","44964"
"614","Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai","OVA","Finalizado","2","27447"
"615","Yamada-kun to 7-nin no Majo","TV","Finalizado","12","46207"
"616","Kekkai Sensen","TV","Finalizado","13","78750"
"617","Chuunibyou demo Koi ga Shitai! Movie: Take On Me","Pelicula","Finalizado","1","36520"
"618","Chuunibyou demo Koi ga Shitai! Ren","TV","Finalizado","12","82662"
"619","Tenki no Ko","Pelicula","Finalizado","1","114385"
"620","Renai Boukun","TV","Finalizado","12","55778"
"621","Himouto! Umaru-chan R","TV","Finalizado","12","46412"
"622","Chuunibyou demo Koi ga Shitai!","TV","Finalizado","13","150897"
"623","Himouto! Umaru-chan Specials","Especial","Finalizado","12","26583"
"624","Himouto! Umaru-chan","TV","Finalizado","13","107419"
"625","Naruto Shippuden","TV","Finalizado","500","1963939"
"626","Drifters: Special Edition","OVA","Finalizado","1","17269"
"627","Drifters","TV","Finalizado","14","47959"
"628","Shingeki no Kyojin: Season 3","TV","Finalizado","22","565740"
"629","Shingeki no Kyojin: Season 2","TV","Finalizado","12","435357"
"630","Shingeki no Kyojin","TV","Finalizado","25","1111373"
"631","Kitsutsuki Tanteidokoro: Woodpecker Detective's Office","TV","Finalizado","12","21099"
"632","Kono Bijutsubu ni wa Mondai ga Aru!","TV","Finalizado","12","22581"
"633","Hunter x Hunter (2011)","TV","Finalizado","148","524751"
"634","Charlotte","TV","Finalizado","14","130710"
"635","Fairy Tail 2014","TV","Finalizado","102","84465"
"636","Highschool of the Dead","TV","Finalizado","13","80813"
"637","Hello World","Pelicula","Finalizado","1","129417"
"638","Another World","OVA","Finalizado","3","51907"
"639","Shuumatsu no Izetta","TV","Finalizado","12","18312"
"640","Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen 2","TV","Finalizado","12","299079"
"641","Zashiki-Warashi no Tatami-chan","TV","Finalizado","12","10576"
"642","Shokugeki no Souma: Gou no Sara","TV","Finalizado","13","210467"
"643","Fugou Keiji: Balance:UNLIMITED","TV","Finalizado","11","85588"
"644","Pandora Hearts","TV","Finalizado","25","31533"
"645","Sol Levante","TV","Finalizado","1","52449"
"646","Sousei no Onmyouji","TV","Finalizado","50","115308"
"647","Houkago Teibou Nisshi","TV","Finalizado","12","29576"
"648","Gundam Build Divers Re:Rise 2nd Season","TV","Finalizado","13","36768"
"649","Strike the Blood IV","OVA","Finalizado","12","355856"
"650","Shadowverse","TV","Finalizado","50","65475"
"651","Naruto Latino","TV","Finalizado","217","498734"
"652","Kyoukai no Kanata Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami","Especial","Finalizado","3","7034"
"653","Kyoukai no Kanata: I’ll Be Here – Mirai-hen","Pelicula","Finalizado","1","29075"
"654","Kyoukai no Kanata: I’ll Be Here – Kako-hen","Pelicula","Finalizado","1","28861"
"655","Kyoukai no Kanata OVA","OVA","Finalizado","1","20936"
"656","Jashin-chan Dropkick 2","TV","Finalizado","12","28164"
"657","Princess Connect! Re:Dive","TV","Finalizado","13","110938"
"658","Fruits Basket 2nd Season","TV","Finalizado","25","78266"
"659","Shironeko Project: Zero Chronicle","TV","Finalizado","12","99966"
"660","Yu<U+2606>Gi<U+2606>Oh: Sevens","TV","Emision","53","80694"
"661","Noragami Aragoto","TV","Finalizado","13","65343"
"662","Ore no Yubi de Midarero. Heitengo Futarikiri no Salon de…","TV","Finalizado","8","127285"
"663","Noragami","TV","Finalizado","14","102128"
"664","Shachou, Battle no Jikan desu!","TV","Finalizado","12","32877"
"665","Gleipnir","TV","Finalizado","13","246761"
"666","Tsugu Tsugumomo","TV","Finalizado","12","130955"
"667","Kingdom 3rd Season","TV","Emision","15","53446"
"668","Digimon Adventure (2020)","TV","Emision","58","170669"
"669","Fullmetal Alchemist: Brotherhood","TV","Finalizado","64","144304"
"670","Asatir: Mirai no Mukashibanashi","TV","Finalizado","13","13294"
"671","Yesterday wo Utatte","TV","Finalizado","12","94811"
"672","Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season","TV","Finalizado","12","33696"
"673","Major 2nd Second Series","TV","Finalizado","25","24390"
"674","Gal to Kyouryuu","TV","Finalizado","12","24966"
"675","Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shite Shimatta…","TV","Finalizado","12","90268"
"676","Arte","TV","Finalizado","11","23163"
"677","Tokyo Ghoul: re  2","TV","Finalizado","12","103163"
"678","Tokyo Ghoul: re","TV","Finalizado","12","110800"
"679","Bungo to Alchemist: Shinpan no Haguruma","TV","Finalizado","13","48709"
"680","JoJo´s: Thus Spoke Kishibe Rohan Ovas","OVA","Finalizado","4","79775"
"681","Shin Sakura Taisen the Animation","TV","Finalizado","12","53694"
"682","Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna","OVA","Finalizado","1","54787"
"683","Mob Psycho 100","TV","Finalizado","13","153505"
"684","Altered Carbon: Resleeved","TV","Finalizado","1","14631"
"685","Appare-Ranman!","TV","Finalizado","13","44216"
"686","Kingdom 2","TV","Finalizado","39","27609"
"687","Bleach: Ovas","OVA","Finalizado","2","21435"
"688","Bleach: Peliculas","Pelicula","Finalizado","4","23250"
"689","Kyoukai no Kanata","TV","Finalizado","12","91537"
"690","Nami yo Kiite Kure","TV","Finalizado","12","37428"
"691","Listeners","TV","Finalizado","12","30655"
"692","Kakushigoto","TV","Finalizado","12","50357"
"693","Hachi-nan tte, Sore wa Nai deshou!","TV","Finalizado","12","144114"
"694","Kami no Tou: Tower of God","TV","Finalizado","13","532445"
"695","7 Seeds Part 2","TV","Finalizado","12","38586"
"696","Psycho-Pass 3: First Inspector","Pelicula","Finalizado","3","18961"
"697","7 Seeds","TV","Finalizado","12","50620"
"698","Baki","TV","Finalizado","26","86089"
"699","Grappler Baki (TV)","TV","Finalizado","24","49551"
"700","Grappler Baki: Saidai Tournament-hen","TV","Finalizado","25","36817"
"701","Log Horizon 2","TV","Finalizado","25","31099"
"702","Log Horizon","TV","Finalizado","25","52013"
"703","Inu to Hasami wa Tsukaiyou (Dog & Scissors)","TV","Finalizado","12","19313"
"704","BNA: Brand New Animal","TV","Finalizado","12","196385"
"705","One Room 2nd Season","TV","Finalizado","14","16932"
"706","One Room","TV","Finalizado","13","35049"
"707","Sakamoto desu ga?","TV","Finalizado","13","29925"
"708","Monster Musume no Iru Nichijou","TV","Finalizado","14","100463"
"709","Tamayomi","TV","Finalizado","12","26908"
"710","Beastars Latino","TV","Finalizado","12","70927"
"711","Gatchaman Crowds Insight","TV","Finalizado","13","20784"
"712","Zoku Owarimonogatari","TV","Finalizado","6","28121"
"713","Owarimonogatari 2","TV","Finalizado","7","27640"
"714","Owarimonogatari","TV","Finalizado","12","32093"
"715","Tsukimonogatari","TV","Finalizado","4","15575"
"716","Monogatari Series: Second Season","TV","Finalizado","26","35845"
"717","Nisemonogatari","TV","Finalizado","11","31117"
"718","Koyomimonogatari","TV","Finalizado","12","21448"
